Dataset,DatasetSize,Epoch,Epsilon,BatchSize,SampleRate,Steps,Sigma,Sigma_over_q,CumulativeNoise,TotalNoiseVariance,CumulativeEffectiveNoise
imagenet397,8471,40,2.0,1,0.00011804981702278361,338840.0,0.543212890625,4601.556396484375,316.20403232775107,99984.99006032944,2678564.3578483793
imagenet397,8471,40,2.0,2,0.00023609963404556722,169420.0,0.5853271484375,2479.1531372070312,240.92452231695086,58044.62545365095,1020435.8142734454
imagenet397,8471,40,2.0,4,0.00047219926809113444,84710.0,0.6414794921875,1358.4931945800781,186.70249324520583,34857.820983976126,395389.20507003466
imagenet397,8471,40,2.0,8,0.0009443985361822689,42355.0,0.723876953125,766.4952087402344,148.97626875281736,22193.92865151167,157747.2465756395
imagenet397,8471,40,2.0,16,0.0018887970723645378,21177.5,0.84716796875,448.5224914550781,123.28404406486474,15198.95552098751,65271.19607959183
imagenet397,8471,40,2.0,32,0.0037775941447290755,10588.75,1.03515625,274.0252685546875,106.51928828194698,11346.35877609253,28197.652844886656
imagenet397,8471,40,2.0,64,0.007555188289458151,5294.375,1.31591796875,174.17407989501953,95.74942327227969,9167.952056974173,12673.333820929394
imagenet397,8471,40,2.0,128,0.015110376578916302,2647.1875,1.73828125,115.03890991210938,89.43600619899323,7998.799204826355,5918.846941497435
imagenet397,8471,40,2.0,256,0.030220753157832604,1323.59375,2.353515625,77.8774642944336,85.62378852920001,7331.4331620931625,2833.2777837142708
imagenet397,8471,40,2.0,512,0.06044150631566521,661.796875,3.26171875,53.964881896972656,83.90906199568465,7040.730684995651,1388.2688753231341
imagenet397,8471,40,2.0,1024,0.12088301263133042,330.8984375,4.53125,37.484588623046875,82.42621966296433,6794.081687927246,681.8676823876668
imagenet397,8471,40,2.0,2048,0.24176602526266083,165.44921875,6.3671875,26.33615493774414,81.89926410357245,6707.489460706711,338.7542315533995
imagenet397,8471,40,2.0,4096,0.48353205052532167,82.724609375,8.90625,18.419151306152344,81.00507794463735,6561.8226528167725,167.52783575903882
imagenet397,8471,40,2.0,8192,0.9670641010506433,41.3623046875,12.421875,12.844934463500977,79.88946621146025,6382.326811552048,82.61031106900388
imagenet397,8471,40,2.0,8471,1.0,40.0,12.6953125,12.6953125,80.29220621521276,6446.83837890625,80.29220621521276
imagenet397,8471,40,4.0,1,0.00011804981702278361,338840.0,0.476837158203125,4039.287567138672,277.56674186073656,77043.29618718475,2351267.8703022995
imagenet397,8471,40,4.0,2,0.00023609963404556722,169420.0,0.5078125,2150.83984375,209.01898077966956,43688.934326171875,885299.8930922905
imagenet397,8471,40,4.0,4,0.00047219926809113444,84710.0,0.54595947265625,1156.2056732177734,158.90140838043448,25249.657585285604,336513.45759766514
imagenet397,8471,40,4.0,8,0.0009443985361822689,42355.0,0.59478759765625,629.8057174682617,122.40925286645913,14984.025187324733,129616.09762897191
imagenet397,8471,40,4.0,16,0.0018887970723645378,21177.5,0.6610107421875,349.96387481689453,96.19353005925686,9253.195225261152,50928.4620707478
imagenet397,8471,40,4.0,32,0.0037775941447290755,10588.75,0.75439453125,199.70237731933594,77.62844358283401,6026.175253093243,20549.704549693342
imagenet397,8471,40,4.0,64,0.007555188289458151,5294.375,0.892333984375,118.10876846313477,64.9284122560635,4215.698718093336,8593.884065954904
imagenet397,8471,40,4.0,128,0.015110376578916302,2647.1875,1.0986328125,72.7071762084961,56.52556571565583,3195.139579474926,3740.8442748228167
imagenet397,8471,40,4.0,256,0.030220753157832604,1323.59375,1.4111328125,46.69416427612305,51.33874457456184,2635.6666944921017,1698.7910362934115
imagenet397,8471,40,4.0,512,0.06044150631566521,661.796875,1.87255859375,30.981335639953613,48.172343226564465,2320.574651937932,797.0076552191945
imagenet397,8471,40,4.0,1024,0.12088301263133042,330.8984375,2.548828125,21.085081100463867,46.36474856041743,2149.68990907073,383.5505713430626
imagenet397,8471,40,4.0,2048,0.24176602526266083,165.44921875,3.5205078125,14.561631679534912,45.28325875665317,2050.573523622006,187.30199459355907
imagenet397,8471,40,4.0,4096,0.48353205052532167,82.724609375,4.873046875,10.078022480010986,44.32185734032241,1964.4270380958915,91.6627083813162
